COUNTRY,CITY,RNUMBER(USEFUL??),PTYPE,BDAY,BMONTH,BYEAR,EDAY,EMONTH,EYEAR,ACTOR1,ACTOR2,ACTOR3,TARGET1,TARGET2,NPART,NDEATH,Deathdummy,ELOCAL,REPORTID1,REPORTID2,REPORTID3,COMMENT
Ghana,Accra,25,31,23,11,1983,23,11,1983,Followers of Sgt. Alolga Akata-Pore,,,Government,,99,0,0,PNDC headquarters,$#13B,,,"Attempted coup d'etat, reportedly staged by followers of Sgt. Alolga Akata-Pore, a PNDC member, was crushed on Nov. 23 after fighting around PNDC headquarters in Accra and the main army barracks at Burma Camp. A dusk-to-dawn curfew was imposed on Nov. 24, and on Nov. 30 Sgt. Akata-Pore and six other soldiers were arrested 'pending investigations into their role of inciting troops to mutiny'."
Ghana,Accra,26,60,99,5,1991,99,5,1991,Students,,,Government,,99,0,0,99,$#14A,,,At the end of May students demonstrated in Accra and in provincial cities in protest at the composition of the consultative assembly claiming that it was packed with government supporters.
Ghana,Accra,27,41,5,11,1992,99,11,1992,99,,,Government,,99,0,0,99,$#15A,,,"Incidents of violence in different places and four small bomb explosions at locations in Tema and Accra were reported in the ensuing days, and an obscure note sent to the Ghana News Agency indicated that the bombings were part of a campaign to overthrow Rawlings and his ruling Provisional National Defence Council (PNDC). On Nov. 10 a police statement said that ""all sensitive install-ations"" in the country had been put under 24-hour guard."
Ghana,Accra,28,60,1,5,1995,1,5,1995,Demonstrators,,,Government,,4,5,1,99,$#16A,,,"Angry demonstrations against government to withdraw value added tax (VAT), which began on May 1 and culminated on May 11, when five people were killed and 17 were injured in clashes between government supporters and about 10,000 marchers making towards Accra's central market."
Ghana,Accra,29,31,27,7,1995,27,7,1995,Togolese agents,,,Lt. Vincent Tokfay,,99,1,1,99,$#17A,,,"Assassination of Lt. Vincent Tokfay, a former bodyguard of former Prime Minister in Togo, Joseph Kokou Koffigoh. Tokfay had been forced into exile in Ghana in December 1991 after he had defended the Prime Minister's residence against mutinous troops  in the latest of a series of attacks on the then transitional government. The Togolese government accused him of training armed opposition commandos and had latterly blamed him for a number of cross-border raids, including a failed attack on President Gnassingbe Eyadema in March 1993. The Ghanaian authorities said that two Togolese agents were suspected of his murder, a view shared by the Togolese opposition Union of the Forces of Change."
Ghana,Accra,30,40,99,12,2000,99,12,2000,Security personnel,,,Opposition,,99,1,1,Ballot box,$#18A,,,"The NPP member of parliament for the Ablekuma district of the capital city, Accra, was killed when he attempted to prevent security personnel from destroying a ballot box.  However, most analysts agreed that the attempts at intimidation by NDC supporters had failed and that the overall validity of the poll had not been compromised by such incidents."
Ethiopia,Addis Ababa,1,31,14,12,1961,24,12,1961,Rebels,,,Government,,99,324,1,99,$#1A,,,"A section of the Ethiopian Imperial Guard and the police carried out a coup d'etat in Addis Ababa on Dec. 14. The revolt was crashed by Dec. 17, when the Emperor returned to the capital. Fighting continued for some days on the outskirts of the capital and in the surrounding hills, all the main rebel leaders being killed or captured. Casualties during the fighting were announced on Dec. 20 as follows: armed forces--29 killed, 43 wounded; Imperial Guard--174 killed, 300 wounded; civilians--121 killed, 442 wounded. Seven foreigners were known to have been killed, including a British subject from Aden."
Ethiopia,Addis Ababa,2,60,12,11,1965,12,11,1965,Demonstrators,,,United Kingdom,Rhodesia,4,0,0,British embassy,$#2A,,,"Some 1,000 demonstrators stormed into the grounds of the British Embassy in Addis Ababa on Nov. 12, breaking windows and causing much damage in protest against Rhodesia's U.D.I. Placards were carried bearing such slogans as ""Smith --dead or alive,"" ""Down with the colonialists,"" and ""Down with Bands"" (the Prime Minister of Malawi)."
Ethiopia,Addis Ababa,3,41,19,11,1966,19,11,1966,Conspirators,,,Government,,99,0,0,Cinema,$#3A,,,"Explosion in a cinema on Nov. 19, in which 36 persons, including a number of non-Ethiopians, were injured, the police announced on Nov. 28 the arrest of a lieutenant charged with having thrown grenades into the cinema, as well as that of several other persons, including General Tadesse Biru, accused of conspiracy against the Government."
Ethiopia,Addis Ababa,4,60,11,4,1967,15,4,1967,Students,,,Government,,99,0,0,99,$#3B,,,"Student demonstrations on April 11-15 against a new law, approved by Parliament and making the assembly of more than five persons subject to previous permission, were dispersed by the police using tear-gas. A police spokesman Stated that 20 students had been arrested, but the students gave the number of arrests as 120 and alleged that numerous students had been injured by the police."
Ethiopia,Addis Ababa,5,60,99,4,1968,99,4,1968,Students,,,Government,,99,0,0,99,$#4A,,,"In early April 1968 violent clashes between students and police occurred in Addis Ababa over a period of several days, the immediate cause being a rumour that students who had taken part in an earlier demonstration were to be expelled from the University and that their association would be banned."
Ethiopia,Addis Ababa,6,31,3,4,1969,3,4,1969,Police,,,Students,,3,0,0,99,$#4C,$#4B,,Further disturbances in March and April 1969 led to led to the arrest and detention for 24 hours of some 500 students on April 3 and the closure of the Haile Selassie I University and all secondary schools from March 3-10.
Ethiopia,Addis Ababa,7,60,23,4,1969,24,4,1969,School pupils,,,Government,,99,1,1,99,$#4D,,,Closure by the Government of all secondary schools in the capital following a clash between police and secondary school pupils on April 23 in which one student was killed and two others seriously injured.
Ethiopia,Addis Ababa,8,31,28,12,1969,28,12,1969,Assasins,,,Mr. Gizaw Tilahun,,1,1,1,99,$#4F,,,"Assasination of Mr. Gizaw Tilahun, the president of the students' union, who had been killed by shots fired from a passing car."
Ethiopia,Addis Ababa,9,31,29,12,1969,29,12,1969,Security forces,,,Students,,3,-99,0,University,$#4E,,,"Security forces fired on large crowds of students who had refused to surrender the body of Mr. Gizaw Tilahun, the president of the students' union, which had been assasinated the day before."
Ethiopia,Addis Ababa,10,60,20,5,1971,20,5,1971,Students,,,Government,,99,0,0,99,$#4G,,,"Student demonstration in which bus services in the chopping district of Addis Ababa were stopped took place on May 20, 1971, following a decision by the University authorities that a newly formed students' union was illegal."
Ethiopia,Addis Ababa,11,60,20,2,1974,25,2,1974,Taxi drivers,Bus drivers,Teachers,Government,,99,9-Mar,1,99,$#5A,,,"3,500 taxi and bus drivers struck in protest against increased licence fees and petrol prices. A teachers' strike took place at the same time in support of demands for educational reforms and higher pay, in view of the rising cost of living. The Emperor said that three persons had been killed (though unofficial reports mentioned up to nine people), 22 injured and nearly 1,000 arrested."
Ethiopia,Addis Ababa,12,31,28,2,1974,99,3,1974,Army,,,Corruption,,99,-99,0,99,$#5B,,,"Early on Feb. 28 units of the Fourth Division of the Army took control of Addis Ababa. While protesting their loyalty to the Emperor, they set up road blocks, occupied Radio Ethiopia and the airport, sealed off the National Bank, and imposed a curfew. Leaflets were distributed from aircraft containing a number of demands, among them a call for the establishment of a special court to investigate alleged corruption among Cabinet Ministers."
Ethiopia,Addis Ababa,13,60,1,3,1974,1,3,1974,Militant students,,,Government,,4,1,1,99,$#5F,,,"Militant students demonstrated in the streets of the capital, beginning on March 1, in favour of land reform, free elections for a democratic Parliament and freedom of expression; on some posters the dismal of the now Prime Minister was also demanded. The demonstrations were, however, dispersed by the police who fired several shots, wounding a number of students on March 1, one of whom died later."
